ligand,receptor,pathway
TGFB1,TGFBR1&TGFBR2,TGFb
TGFB2,TGFBR1&TGFBR2,TGFb
TGFB3,TGFBR1&TGFBR2,TGFb
TGFB1,ACVR1B&TGFBR2,TGFb
TGFB1,ACVR1C&TGFBR2,TGFb
TGFB2,ACVR1B&TGFBR2,TGFb
TGFB2,ACVR1C&TGFBR2,TGFb
TGFB3,ACVR1B&TGFBR2,TGFb
TGFB3,ACVR1C&TGFBR2,TGFb
TGFB1,ACVR1&TGFBR1&TGFBR2,TGFb
TGFB2,ACVR1&TGFBR1&TGFBR2,TGFb
TGFB3,ACVR1&TGFBR1&TGFBR2,TGFb
BMP2,BMPR1A&ACVR2A,BMP
BMP2,BMPR1A&ACVR2B,BMP
BMP2,BMPR1A&BMPR2,BMP
BMP2,BMPR1B&ACVR2A,BMP
BMP2,BMPR1B&ACVR2B,BMP
BMP2,BMPR1B&BMPR2,BMP
BMP4,BMPR1A&ACVR2A,BMP
BMP4,BMPR1A&ACVR2B,BMP
BMP4,BMPR1A&BMPR2,BMP
BMP4,BMPR1B&ACVR2A,BMP
BMP4,BMPR1B&ACVR2B,BMP
BMP4,BMPR1B&BMPR2,BMP
GDF5,BMPR1A&ACVR2A,BMP
GDF5,BMPR1A&ACVR2B,BMP
GDF5,BMPR1A&BMPR2,BMP
GDF5,BMPR1B&ACVR2A,BMP
GDF5,BMPR1B&ACVR2B,BMP
GDF5,BMPR1B&BMPR2,BMP
GDF6,BMPR1A&ACVR2A,BMP
GDF6,BMPR1A&ACVR2B,BMP
GDF6,BMPR1A&BMPR2,BMP
GDF6,BMPR1B&ACVR2A,BMP
GDF6,BMPR1B&ACVR2B,BMP
GDF6,BMPR1B&BMPR2,BMP
GDF7,BMPR1A&ACVR2A,BMP
GDF7,BMPR1A&ACVR2B,BMP
GDF7,BMPR1A&BMPR2,BMP
GDF7,BMPR1B&ACVR2A,BMP
GDF7,BMPR1B&ACVR2B,BMP
GDF7,BMPR1B&BMPR2,BMP
BMP15,BMPR1B&BMPR2,BMP
BMP5,ACVR1&ACVR2A,BMP
BMP5,ACVR1&ACVR2B,BMP
